მოდელი,შიდა მეხსიერება,ფერი,პროდუქტის კოდი,ფასი,მოდელის ფოტო
iPad 10.9 (10 Gen),64 GB,Blue,MPQ13RK/A,1 249,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/f0/87/f087e05a00a717877ee0a731c67a2f07/221019140038128193.webp
iPad 10.2 (9 Gen),64 GB,Silver,MK2L3RK/A,999,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/74/e5/74e51242de1c36f4007c4c93693004b9/210929160033319001.webp
iPad mini 6,64 GB,Space Gray,MK7M3RK/A,1 949,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/c1/d9/c1d9c7c903eaf5a11d8e0f1af8a14cd9/210927160042713923.webp
iPad mini 6,64 GB,Starlight,MK7P3RK/A,1 949,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/91/b9/91b98c3d5c6fa2fca110e83873edbe99/210927160045848215.webp
iPad 10.9 (10 Gen),256 GB,Silver,MPQ83RK/A,1 999,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/b7/a1/b7a1f310e383b7f5f6a6eb01ed701ebe/221019140058313158.webp
iPad 10.9 (10 Gen),64 GB,Silver,MPQ03RK/A,1 249,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/b7/a1/b7a1f310e383b7f5f6a6eb01ed701ebe/221019140058313158.webp
iPad 10.2 (9 Gen),64 GB,Space Gray,MK2K3RK/A,999,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/1f/ac/1facf1c08639ed0b6d714932b5576f06/211004123451506016.webp
iPad Air 5,64 GB,Starlight,MM9F3RK/A,2 099,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/0a/6c/0a6c7c33a59fb01e87e62b74ec198a95/220310170035603472.webp
iPad Air 5,64 GB,Space Gray,MM9C3RK/A,2 099,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/1c/8a/1c8afeba4d0aed65e30d1f77f677d338/220310170025981875.webp
iPad Air 5,64 GB,Space Gray,MM6R3RK/A,2 699,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/4d/45/4d451b20845bd3c419e789b5282a5bec/220310170023331141.webp
iPad Air 5,64 GB,Blue,MM9E3RK/A,2 099,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/d1/d9/d1d9613acb90f760c55dae4976de02cb/220310170031372467.webp
iPad 10.9 (10 Gen),256 GB,Blue,MPQ93RK/A,1 999,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/f0/87/f087e05a00a717877ee0a731c67a2f07/221019140038128193.webp
iPad Air 5,256 GB,Purple,MME63RK/A,2 699,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/51/84/5184e30167cbdbe6677504ffb243aa00/220310170028681766.webp
iPad Air 13 (M2),256 GB,Purple,MV2H3QA/A,3 479,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/41/97/4197da74acc3f02c9823454974ddd95c/240508160031883751.webp
iPad Air 11 (M2),256 GB,Space Gray,MUXH3QA/A,3 329,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/52/f2/52f242e9c5e9fab24164cc15ce590d54/240508160013739168.webp
iPad Pro 11 (4th Gen),256 GB,Space Gray,MNXF3RK/A,3 179,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/52/18/521822bb58a97732c4bd32465a565faf/221019140056151167.webp
iPad mini 6,64 GB,Purple,MK7R3RK/A,1 949,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/e7/58/e75811f4a606d5b69367e08715796402/210927160047879026.webp
iPad Air 13 (M2),256 GB,Space Gray,MV2D3QA/A,3 479,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/e4/c1/e4c1aee8f8049cf5ef1ab60852e28b1d/240508160010444785.webp
iPad Air 13 (M2),256 GB,Blue,MV2F3QA/A,3 479,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/33/0c/330c8e0dae61a32ad4a8808955843168/240508160042221673.webp
iPad Air 13 (M2),256 GB,Starlight,MV2G3QA/A,3 479,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/5b/20/5b209b83e3eb9541ac6df008d2442b32/240508140044101646.webp
iPad 10.9 (10 Gen),64 GB,Blue,MPQ13RK/A,1 249,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/f0/87/f087e05a00a717877ee0a731c67a2f07/221019140038128193.webp
iPad 10.2 (9 Gen),64 GB,Silver,MK2L3RK/A,999,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/74/e5/74e51242de1c36f4007c4c93693004b9/210929160033319001.webp
iPad mini 6,64 GB,Space Gray,MK7M3RK/A,1 949,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/c1/d9/c1d9c7c903eaf5a11d8e0f1af8a14cd9/210927160042713923.webp
iPad mini 6,64 GB,Starlight,MK7P3RK/A,1 949,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/91/b9/91b98c3d5c6fa2fca110e83873edbe99/210927160045848215.webp
iPad 10.9 (10 Gen),256 GB,Silver,MPQ83RK/A,1 999,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/b7/a1/b7a1f310e383b7f5f6a6eb01ed701ebe/221019140058313158.webp
iPad 10.9 (10 Gen),64 GB,Silver,MPQ03RK/A,1 249,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/b7/a1/b7a1f310e383b7f5f6a6eb01ed701ebe/221019140058313158.webp
iPad 10.2 (9 Gen),64 GB,Space Gray,MK2K3RK/A,999,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/1f/ac/1facf1c08639ed0b6d714932b5576f06/211004123451506016.webp
iPad Air 5,64 GB,Starlight,MM9F3RK/A,2 099,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/0a/6c/0a6c7c33a59fb01e87e62b74ec198a95/220310170035603472.webp
iPad Air 5,64 GB,Space Gray,MM9C3RK/A,2 099,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/1c/8a/1c8afeba4d0aed65e30d1f77f677d338/220310170025981875.webp
iPad Air 5,64 GB,Space Gray,MM6R3RK/A,2 699,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/4d/45/4d451b20845bd3c419e789b5282a5bec/220310170023331141.webp
iPad Air 5,64 GB,Blue,MM9E3RK/A,2 099,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/d1/d9/d1d9613acb90f760c55dae4976de02cb/220310170031372467.webp
iPad 10.9 (10 Gen),256 GB,Blue,MPQ93RK/A,1 999,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/f0/87/f087e05a00a717877ee0a731c67a2f07/221019140038128193.webp
iPad Air 5,256 GB,Purple,MME63RK/A,2 699,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/51/84/5184e30167cbdbe6677504ffb243aa00/220310170028681766.webp
iPad Air 13 (M2),256 GB,Purple,MV2H3QA/A,3 479,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/41/97/4197da74acc3f02c9823454974ddd95c/240508160031883751.webp
iPad Air 11 (M2),256 GB,Space Gray,MUXH3QA/A,3 329,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/52/f2/52f242e9c5e9fab24164cc15ce590d54/240508160013739168.webp
iPad Pro 11 (4th Gen),256 GB,Space Gray,MNXF3RK/A,3 179,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/52/18/521822bb58a97732c4bd32465a565faf/221019140056151167.webp
iPad mini 6,64 GB,Purple,MK7R3RK/A,1 949,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/e7/58/e75811f4a606d5b69367e08715796402/210927160047879026.webp
iPad Air 13 (M2),256 GB,Space Gray,MV2D3QA/A,3 479,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/e4/c1/e4c1aee8f8049cf5ef1ab60852e28b1d/240508160010444785.webp
iPad Air 13 (M2),256 GB,Blue,MV2F3QA/A,3 479,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/33/0c/330c8e0dae61a32ad4a8808955843168/240508160042221673.webp
iPad Air 13 (M2),256 GB,Starlight,MV2G3QA/A,3 479,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/5b/20/5b209b83e3eb9541ac6df008d2442b32/240508140044101646.webp
iPad 10.9 (10 Gen),64 GB,Blue,MPQ13RK/A,1 249,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/f0/87/f087e05a00a717877ee0a731c67a2f07/221019140038128193.webp
iPad 10.2 (9 Gen),64 GB,Silver,MK2L3RK/A,999,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/74/e5/74e51242de1c36f4007c4c93693004b9/210929160033319001.webp
iPad mini 6,64 GB,Space Gray,MK7M3RK/A,1 949,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/c1/d9/c1d9c7c903eaf5a11d8e0f1af8a14cd9/210927160042713923.webp
iPad mini 6,64 GB,Starlight,MK7P3RK/A,1 949,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/91/b9/91b98c3d5c6fa2fca110e83873edbe99/210927160045848215.webp
iPad 10.9 (10 Gen),256 GB,Silver,MPQ83RK/A,1 999,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/b7/a1/b7a1f310e383b7f5f6a6eb01ed701ebe/221019140058313158.webp
iPad 10.9 (10 Gen),64 GB,Silver,MPQ03RK/A,1 249,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/b7/a1/b7a1f310e383b7f5f6a6eb01ed701ebe/221019140058313158.webp
iPad 10.2 (9 Gen),64 GB,Space Gray,MK2K3RK/A,999,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/1f/ac/1facf1c08639ed0b6d714932b5576f06/211004123451506016.webp
iPad Air 5,64 GB,Starlight,MM9F3RK/A,2 099,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/0a/6c/0a6c7c33a59fb01e87e62b74ec198a95/220310170035603472.webp
iPad Air 5,64 GB,Space Gray,MM9C3RK/A,2 099,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/1c/8a/1c8afeba4d0aed65e30d1f77f677d338/220310170025981875.webp
iPad Air 5,64 GB,Space Gray,MM6R3RK/A,2 699,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/4d/45/4d451b20845bd3c419e789b5282a5bec/220310170023331141.webp
iPad Air 5,64 GB,Blue,MM9E3RK/A,2 099,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/d1/d9/d1d9613acb90f760c55dae4976de02cb/220310170031372467.webp
iPad 10.9 (10 Gen),256 GB,Blue,MPQ93RK/A,1 999,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/f0/87/f087e05a00a717877ee0a731c67a2f07/221019140038128193.webp
iPad Air 5,256 GB,Purple,MME63RK/A,2 699,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/51/84/5184e30167cbdbe6677504ffb243aa00/220310170028681766.webp
iPad Air 13 (M2),256 GB,Purple,MV2H3QA/A,3 479,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/41/97/4197da74acc3f02c9823454974ddd95c/240508160031883751.webp
iPad Air 11 (M2),256 GB,Space Gray,MUXH3QA/A,3 329,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/52/f2/52f242e9c5e9fab24164cc15ce590d54/240508160013739168.webp
iPad Pro 11 (4th Gen),256 GB,Space Gray,MNXF3RK/A,3 179,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/52/18/521822bb58a97732c4bd32465a565faf/221019140056151167.webp
iPad mini 6,64 GB,Purple,MK7R3RK/A,1 949,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/e7/58/e75811f4a606d5b69367e08715796402/210927160047879026.webp
iPad Air 13 (M2),256 GB,Space Gray,MV2D3QA/A,3 479,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/e4/c1/e4c1aee8f8049cf5ef1ab60852e28b1d/240508160010444785.webp
iPad Air 13 (M2),256 GB,Blue,MV2F3QA/A,3 479,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/33/0c/330c8e0dae61a32ad4a8808955843168/240508160042221673.webp
iPad Air 13 (M2),256 GB,Starlight,MV2G3QA/A,3 479,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/5b/20/5b209b83e3eb9541ac6df008d2442b32/240508140044101646.webp
iPad 10.9 (10 Gen),64 GB,Blue,MPQ13RK/A,1 249,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/f0/87/f087e05a00a717877ee0a731c67a2f07/221019140038128193.webp
iPad 10.2 (9 Gen),64 GB,Silver,MK2L3RK/A,999,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/74/e5/74e51242de1c36f4007c4c93693004b9/210929160033319001.webp
iPad mini 6,64 GB,Space Gray,MK7M3RK/A,1 949,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/c1/d9/c1d9c7c903eaf5a11d8e0f1af8a14cd9/210927160042713923.webp
iPad mini 6,64 GB,Starlight,MK7P3RK/A,1 949,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/91/b9/91b98c3d5c6fa2fca110e83873edbe99/210927160045848215.webp
iPad 10.9 (10 Gen),256 GB,Silver,MPQ83RK/A,1 999,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/b7/a1/b7a1f310e383b7f5f6a6eb01ed701ebe/221019140058313158.webp
iPad 10.9 (10 Gen),64 GB,Silver,MPQ03RK/A,1 249,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/b7/a1/b7a1f310e383b7f5f6a6eb01ed701ebe/221019140058313158.webp
iPad 10.2 (9 Gen),64 GB,Space Gray,MK2K3RK/A,999,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/1f/ac/1facf1c08639ed0b6d714932b5576f06/211004123451506016.webp
iPad Air 5,64 GB,Starlight,MM9F3RK/A,2 099,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/0a/6c/0a6c7c33a59fb01e87e62b74ec198a95/220310170035603472.webp
iPad Air 5,64 GB,Space Gray,MM9C3RK/A,2 099,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/1c/8a/1c8afeba4d0aed65e30d1f77f677d338/220310170025981875.webp
iPad Air 5,64 GB,Space Gray,MM6R3RK/A,2 699,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/4d/45/4d451b20845bd3c419e789b5282a5bec/220310170023331141.webp
iPad Air 5,64 GB,Blue,MM9E3RK/A,2 099,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/d1/d9/d1d9613acb90f760c55dae4976de02cb/220310170031372467.webp
iPad 10.9 (10 Gen),256 GB,Blue,MPQ93RK/A,1 999,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/f0/87/f087e05a00a717877ee0a731c67a2f07/221019140038128193.webp
iPad Air 5,256 GB,Purple,MME63RK/A,2 699,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/51/84/5184e30167cbdbe6677504ffb243aa00/220310170028681766.webp
iPad Air 13 (M2),256 GB,Purple,MV2H3QA/A,3 479,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/41/97/4197da74acc3f02c9823454974ddd95c/240508160031883751.webp
iPad Air 11 (M2),256 GB,Space Gray,MUXH3QA/A,3 329,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/52/f2/52f242e9c5e9fab24164cc15ce590d54/240508160013739168.webp
iPad Pro 11 (4th Gen),256 GB,Space Gray,MNXF3RK/A,3 179,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/52/18/521822bb58a97732c4bd32465a565faf/221019140056151167.webp
iPad mini 6,64 GB,Purple,MK7R3RK/A,1 949,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/e7/58/e75811f4a606d5b69367e08715796402/210927160047879026.webp
iPad Air 13 (M2),256 GB,Space Gray,MV2D3QA/A,3 479,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/e4/c1/e4c1aee8f8049cf5ef1ab60852e28b1d/240508160010444785.webp
iPad Air 13 (M2),256 GB,Blue,MV2F3QA/A,3 479,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/33/0c/330c8e0dae61a32ad4a8808955843168/240508160042221673.webp
iPad Air 13 (M2),256 GB,Starlight,MV2G3QA/A,3 479,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/5b/20/5b209b83e3eb9541ac6df008d2442b32/240508140044101646.webp
iPad 10.9 (10 Gen),64 GB,Blue,MPQ13RK/A,1 249,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/f0/87/f087e05a00a717877ee0a731c67a2f07/221019140038128193.webp
iPad 10.2 (9 Gen),64 GB,Silver,MK2L3RK/A,999,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/74/e5/74e51242de1c36f4007c4c93693004b9/210929160033319001.webp
iPad mini 6,64 GB,Space Gray,MK7M3RK/A,1 949,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/c1/d9/c1d9c7c903eaf5a11d8e0f1af8a14cd9/210927160042713923.webp
iPad mini 6,64 GB,Starlight,MK7P3RK/A,1 949,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/91/b9/91b98c3d5c6fa2fca110e83873edbe99/210927160045848215.webp
iPad 10.9 (10 Gen),256 GB,Silver,MPQ83RK/A,1 999,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/b7/a1/b7a1f310e383b7f5f6a6eb01ed701ebe/221019140058313158.webp
iPad 10.9 (10 Gen),64 GB,Silver,MPQ03RK/A,1 249,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/b7/a1/b7a1f310e383b7f5f6a6eb01ed701ebe/221019140058313158.webp
iPad 10.2 (9 Gen),64 GB,Space Gray,MK2K3RK/A,999,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/1f/ac/1facf1c08639ed0b6d714932b5576f06/211004123451506016.webp
iPad Air 5,64 GB,Starlight,MM9F3RK/A,2 099,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/0a/6c/0a6c7c33a59fb01e87e62b74ec198a95/220310170035603472.webp
iPad Air 5,64 GB,Space Gray,MM9C3RK/A,2 099,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/1c/8a/1c8afeba4d0aed65e30d1f77f677d338/220310170025981875.webp
iPad Air 5,64 GB,Space Gray,MM6R3RK/A,2 699,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/4d/45/4d451b20845bd3c419e789b5282a5bec/220310170023331141.webp
iPad Air 5,64 GB,Blue,MM9E3RK/A,2 099,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/d1/d9/d1d9613acb90f760c55dae4976de02cb/220310170031372467.webp
iPad 10.9 (10 Gen),256 GB,Blue,MPQ93RK/A,1 999,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/f0/87/f087e05a00a717877ee0a731c67a2f07/221019140038128193.webp
iPad Air 5,256 GB,Purple,MME63RK/A,2 699,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/51/84/5184e30167cbdbe6677504ffb243aa00/220310170028681766.webp
iPad Air 13 (M2),256 GB,Purple,MV2H3QA/A,3 479,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/41/97/4197da74acc3f02c9823454974ddd95c/240508160031883751.webp
iPad Air 11 (M2),256 GB,Space Gray,MUXH3QA/A,3 329,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/52/f2/52f242e9c5e9fab24164cc15ce590d54/240508160013739168.webp
iPad Pro 11 (4th Gen),256 GB,Space Gray,MNXF3RK/A,3 179,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/52/18/521822bb58a97732c4bd32465a565faf/221019140056151167.webp
iPad mini 6,64 GB,Purple,MK7R3RK/A,1 949,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/e7/58/e75811f4a606d5b69367e08715796402/210927160047879026.webp
iPad Air 13 (M2),256 GB,Space Gray,MV2D3QA/A,3 479,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/e4/c1/e4c1aee8f8049cf5ef1ab60852e28b1d/240508160010444785.webp
iPad Air 13 (M2),256 GB,Blue,MV2F3QA/A,3 479,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/33/0c/330c8e0dae61a32ad4a8808955843168/240508160042221673.webp
iPad Air 13 (M2),256 GB,Starlight,MV2G3QA/A,3 479,https://cdn0.it4profit.com/s3size/rt:fill/w:510/h:510/g:no/el:1/f:webp/plain/s3://cms/product/5b/20/5b209b83e3eb9541ac6df008d2442b32/240508140044101646.webp
